Question,Generated SQL,Ground Truth SQL,Generated SQL Output,Error Classification,Similarity Analysis
What is the average total revenue per transaction?,SELECT AVG(Total) AS avg_revenue FROM sales;,SELECT AVG(Total) AS average_revenue FROM sales;,"    avg_revenue
0  322.96674900",Correct,Almost Correct
What is the total VAT collected each month?,"SELECT MONTH(Date) AS month, SUM(vat) AS total_vat FROM sales GROUP BY month ORDER BY total_vat DESC;","SELECT MONTH(Date) AS month, SUM(vat) AS total_vat FROM sales GROUP BY month;","   month  total_vat
0      1   5537.708
1      3   5212.167
2      2   4629.494",Correct,Almost Correct
Which time of day records the highest average rating?,"SELECT HOUR(Time) AS hour, AVG(Rating) AS avg_rating FROM sales GROUP BY hour ORDER BY avg_rating DESC LIMIT 1;","SELECT TIME_FORMAT(Time, '%H:00') AS hour, AVG(Rating) AS avg_rating FROM sales GROUP BY hour ORDER BY avg_rating DESC LIMIT 1;","   hour  avg_rating
0    12         7.3",Wrong Answer,Almost Correct
What is the average revenue generated per branch?,"SELECT Branch, AVG(Total) AS avg_revenue FROM sales GROUP BY Branch;","SELECT Branch, AVG(Total) AS avg_revenue FROM sales GROUP BY Branch ORDER BY avg_revenue DESC;","  Branch   avg_revenue
0      A  312.35403088
1      C  337.09971494
2      B  319.87250602",Correct,Almost Correct
What is the total revenue for each city?,"SELECT City, SUM(Total) AS total_revenue FROM sales GROUP BY City ORDER BY total_revenue DESC;","SELECT City, SUM(Total) AS city_revenue FROM sales GROUP BY City ORDER BY city_revenue DESC;","        City total_revenue
0  Naypyitaw   110568.7065
1     Yangon   106200.3705
2   Mandalay   106197.6720",Correct,Almost Correct
What is the average revenue per customer type?,"SELECT Customer_type, AVG(Total) AS avg_revenue FROM sales GROUP BY Customer_type;","SELECT Customer_type, AVG(Total) AS avg_revenue FROM sales GROUP BY Customer_type;","  Customer_type   avg_revenue
0        Normal  318.12285571
1        Member  327.79130539",Correct,Almost Correct
How much revenue did each payment method generate?,"SELECT Payment, SUM(Total) AS revenue FROM sales GROUP BY Payment ORDER BY revenue DESC;","SELECT Payment, SUM(Total) AS payment_revenue FROM sales GROUP BY Payment ORDER BY payment_revenue DESC;","       Payment      revenue
0         Cash  112206.5700
1      Ewallet  109993.1070
2  Credit card  100767.0720",Correct,Almost Correct
What is the most preferred payment method by gender?,"SELECT Gender, Payment, COUNT(*) AS payment_count FROM sales GROUP BY Gender, Payment ORDER BY payment_count DESC;","WITH ranked_payments AS ( SELECT Gender,Payment, COUNT(*) AS payment_count, RANK() OVER (PARTITION BY Gender ORDER BY COUNT(*) DESC) AS rank1 FROM sales GROUP BY Gender, Payment) SELECT Gender, Payment, payment_count FROM ranked_payments WHERE rank1 = 1;","   Gender      Payment  payment_count
0    Male      Ewallet            185
1  Female         Cash            178
2    Male         Cash            166
3  Female  Credit card            163
4  Female      Ewallet            160
5    Male  Credit card            148",Wrong Answer,Wrong Answer
What is the total revenue generated by each gender?,"SELECT Gender, SUM(Total) AS total_revenue FROM sales GROUP BY Gender ORDER BY total_revenue DESC;","SELECT Gender, SUM(Total) AS revenue FROM sales GROUP BY Gender ORDER BY revenue DESC;","   Gender total_revenue
0  Female   167882.9250
1    Male   155083.8240",Correct,Almost Correct
What is the average quantity of items purchased by each customer type?,"SELECT Customer_type, AVG(Quantity) AS avg_quantity FROM sales GROUP BY Customer_type;","SELECT Customer_type, AVG(Quantity) AS avg_quantity FROM sales GROUP BY Customer_type;","  Customer_type avg_quantity
0        Normal       5.4609
1        Member       5.5589",Correct,Almost Correct
What is the most common payment method used by each gender?,"SELECT Gender, Payment, COUNT(*) AS payment_count FROM sales GROUP BY Gender, Payment ORDER BY payment_count DESC;","WITH ranked_payments AS ( SELECT Gender,Payment, COUNT(*) AS payment_count, RANK() OVER (PARTITION BY Gender ORDER BY COUNT(*) DESC) AS rank1 FROM sales GROUP BY Gender, Payment) SELECT Gender, Payment, payment_count FROM ranked_payments WHERE rank1 = 1;","   Gender      Payment  payment_count
0    Male      Ewallet            185
1  Female         Cash            178
2    Male         Cash            166
3  Female  Credit card            163
4  Female      Ewallet            160
5    Male  Credit card            148",Wrong Answer,Wrong Answer
Which month has the highest average rating?,"SELECT MONTH(Date) AS month, AVG(Rating) AS avg_rating FROM sales GROUP BY month ORDER BY avg_rating DESC LIMIT 1;","SELECT MONTH(Date) AS month, AVG(Rating) AS avg_rating FROM sales GROUP BY month ORDER BY avg_rating DESC LIMIT 1;","   month  avg_rating
0      2     7.06997",Correct,Almost Correct
What is the total VAT collected in each quarter?,"SELECT Quarter(Date) AS quarter, SUM(VAT) AS total_vat FROM sales GROUP BY quarter ORDER BY total_vat DESC;","SELECT QUARTER(Date) AS quarter, SUM(vat) AS total_vat FROM sales GROUP BY quarter ORDER BY total_vat DESC;","   quarter  total_vat
0        1  15379.369",Correct,Almost Correct
Which branch has the highest gross income?,"SELECT Branch AS branch, SUM(gross_income) AS total_gross_income FROM sales GROUP BY Branch ORDER BY total_gross_income DESC LIMIT 1;","SELECT Branch, SUM(gross_income) AS total_gross_income FROM sales GROUP BY Branch ORDER BY total_gross_income DESC LIMIT 1;","  branch total_gross_income
0      C          5265.1765",Correct,Almost Correct
How does the quantity sold vary with each payment method?,"SELECT Payment, AVG(Quantity) AS avg_quantity FROM sales GROUP BY Payment ORDER BY avg_quantity DESC;","SELECT Payment, AVG(Quantity) AS avg_quantity FROM sales GROUP BY Payment ORDER BY avg_quantity DESC;","       Payment avg_quantity
0  Credit card       5.5370
1         Cash       5.5116
2      Ewallet       5.4841",Correct,Almost Correct
What is the most common product line for transactions above 500?,SELECT Product_line AS most_common_product_line FROM sales WHERE Total > 500 GROUP BY Product_line ORDER BY COUNT(*) DESC LIMIT 1;,"SELECT Product_line, COUNT(*) AS product_count FROM sales WHERE Total > 500 GROUP BY Product_line ORDER BY product_count DESC;","  most_common_product_line
0        Sports and travel",Wrong Answer,Almost Correct
How many transactions did each gender make during time 18 and 21?,"SELECT Gender, COUNT(Invoice_ID) AS transactions FROM sales WHERE HOUR(Time) IN (18, 21) GROUP BY Gender;","SELECT Gender, COUNT(Invoice_ID) AS transaction_count FROM sales WHERE HOUR(Time) BETWEEN 18 AND 21 GROUP BY Gender ORDER BY transaction_count DESC;","   Gender  transactions
0    Male            48
1  Female            45",Wrong Answer,Wrong Answer
